,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-05-24 12:28:00,373.3558,373.4005,373.3558,373.4005,1628
2024-05-24 12:29:00,373.3558,373.3558,372.9737,372.9836,5536
2024-05-24 12:30:00,372.9340,372.9687,372.8545,372.9687,2394
2024-05-24 12:31:00,372.9637,373.0531,372.8645,372.9588,1849
2024-05-24 12:32:00,373.0575,373.0575,372.9637,372.9637,2168
2024-05-24 12:33:00,372.9637,373.0630,372.8148,372.8446,7607
2024-05-24 12:34:00,372.8496,372.9836,372.7852,372.7852,3559
2024-05-24 12:35:00,372.9538,373.0134,372.8794,372.9340,1893
2024-05-24 12:36:00,372.9340,373.0332,372.9340,372.9340,3155
2024-05-24 12:37:00,372.9340,373.0630,372.9340,372.9574,8689
2024-05-24 12:38:00,373.1027,373.1027,372.9141,373.1027,2592
2024-05-24 12:39:00,373.0084,373.0729,372.9935,373.0729,1649
2024-05-24 12:40:00,373.1027,373.1027,373.0528,373.0528,1394
2024-05-24 12:41:00,372.9340,373.1126,372.9340,373.1126,2230
2024-05-24 12:42:00,373.1200,373.1920,373.1200,373.1920,1852
2024-05-24 12:43:00,373.0828,373.3012,373.0630,373.3012,5075
2024-05-24 12:44:00,373.3614,373.4104,373.3614,373.4104,737
2024-05-24 12:45:00,373.2738,373.3856,373.2738,373.3856,520
2024-05-24 12:46:00,373.3806,373.4898,373.3806,373.3856,487
2024-05-24 12:47:00,373.4005,373.5096,373.4005,373.5047,2059
2024-05-24 12:48:00,373.5990,373.5990,373.5047,373.5047,514
2024-05-24 12:49:00,373.6089,373.6982,373.5096,373.5096,1081
2024-05-24 12:50:00,373.5791,373.5791,373.4699,373.5642,3648
2024-05-24 12:51:00,373.5642,373.5642,373.2119,373.2417,11003
2024-05-24 12:52:00,373.2516,373.3608,373.2516,373.2565,965
2024-05-24 12:53:00,373.2665,373.2665,373.2317,373.2665,759
2024-05-24 12:54:00,373.2665,373.2665,373.2665,373.2665,297
2024-05-24 12:55:00,373.3508,373.3508,373.0431,373.1126,30468
2024-05-24 12:56:00,373.0034,373.4203,372.9836,373.4104,4166
2024-05-24 12:57:00,373.5196,373.5687,373.5196,373.5687,1465
2024-05-24 12:58:00,373.6585,373.6585,373.6585,373.6585,427
2024-05-24 12:59:00,373.5444,373.6784,373.3905,373.4253,4287
2024-05-24 13:00:00,373.4228,373.4253,373.2913,373.3111,955
2024-05-24 13:01:00,373.4154,373.4154,373.3111,373.3111,482
2024-05-24 13:02:00,373.4253,373.4253,373.3012,373.3012,2518
2024-05-24 13:04:00,373.2615,373.2615,373.1126,373.1126,1884
2024-05-24 13:05:00,373.1325,373.1325,372.9141,372.9141,2942
2024-05-24 13:06:00,372.8446,372.8446,372.8446,372.8446,1082
2024-05-24 13:07:00,372.9232,372.9340,372.8645,372.8645,492
2024-05-24 13:08:00,372.9141,373.0134,372.9141,372.9836,1244
2024-05-24 13:09:00,372.8992,372.9637,372.8992,372.9637,1281
2024-05-24 13:10:00,372.9588,373.0630,372.8545,373.0349,1574
2024-05-24 13:11:00,372.8546,372.8546,372.8546,372.8546,828
2024-05-24 13:12:00,372.8545,372.9544,372.8148,372.8545,2747
2024-05-24 13:13:00,372.8843,372.9737,372.8843,372.8843,1587
2024-05-24 13:14:00,372.8843,372.8843,372.7950,372.8843,646
2024-05-24 13:15:00,372.8843,372.8843,372.8843,372.8843,431
2024-05-24 13:16:00,372.8843,372.8942,372.6064,372.6759,7884
2024-05-24 13:17:00,372.5766,372.5766,372.5766,372.5766,1333
2024-05-24 13:18:00,372.6007,372.7080,372.6007,372.7080,2437
2024-05-24 13:19:00,372.7057,372.7156,372.4377,372.5617,3251
2024-05-24 13:20:00,372.4277,372.4774,372.4178,372.4774,1177
2024-05-24 13:21:00,372.4823,372.4823,372.3682,372.4277,1415
2024-05-24 13:22:00,372.3285,372.7255,372.3285,372.6014,6558
2024-05-24 13:23:00,372.6114,372.7354,372.6114,372.7354,576
2024-05-24 13:24:00,372.6163,372.6163,372.6163,372.6163,678
2024-05-24 13:25:00,372.7354,372.7950,372.6908,372.6908,1393
2024-05-24 13:26:00,372.6957,372.6957,372.6957,372.6957,1930
2024-05-24 13:27:00,372.5965,372.8248,372.5766,372.7950,4210
2024-05-24 13:28:00,372.7950,372.7950,372.7950,372.7950,301
2024-05-24 13:29:00,372.6560,372.7057,372.5667,372.5667,1954
2024-05-24 13:30:00,372.5667,372.5667,372.4674,372.4674,608
2024-05-24 13:31:00,372.4079,372.4079,372.1697,372.1697,3200
2024-05-24 13:32:00,372.2292,372.3682,372.2292,372.2689,1547
2024-05-24 13:33:00,372.2838,372.2888,372.2094,372.2094,1417
2024-05-24 13:34:00,372.2788,372.2788,372.1697,372.1796,773
2024-05-24 13:35:00,372.3682,372.4674,372.2739,372.4674,3074
2024-05-24 13:36:00,372.4029,372.5394,372.4029,372.4674,1173
2024-05-24 13:37:00,372.4550,372.5071,372.4277,372.5071,714
2024-05-24 13:38:00,372.5568,372.5667,372.5468,372.5468,1667
2024-05-24 13:39:00,372.5095,372.6560,372.5095,372.6163,2399
2024-05-24 13:40:00,372.4277,372.4277,372.2193,372.2391,5045
2024-05-24 13:41:00,372.3555,372.3555,372.1399,372.1399,3503
2024-05-24 13:42:00,372.1250,372.1250,372.0108,372.1200,1598
2024-05-24 13:43:00,372.0406,372.1399,372.0406,372.0456,971
2024-05-24 13:44:00,372.0456,372.0731,372.0456,372.0731,705
2024-05-24 13:45:00,372.0009,372.0506,371.9711,371.9711,1309
2024-05-24 13:46:00,372.0506,372.0803,371.9811,372.0506,946
2024-05-24 13:47:00,372.0506,372.0605,372.0506,372.0605,967
2024-05-24 13:48:00,372.0406,372.1845,372.0307,372.0903,4652
