,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-13 17:20:00,67.9286,67.9286,67.9137,67.9137,2
2024-08-13 17:21:00,67.9137,67.9187,67.9137,67.9137,3
2024-08-13 17:22:00,67.9137,67.9137,67.8988,67.9137,5
2024-08-13 17:24:00,67.9286,67.9286,67.8988,67.8993,106
2024-08-13 17:25:00,67.9187,67.9187,67.9137,67.9137,2
2024-08-13 17:27:00,67.8988,67.8988,67.8988,67.8988,6
2024-08-13 17:28:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:29:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:30:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:31:00,67.8988,67.9286,67.8988,67.8988,4
2024-08-13 17:32:00,67.8690,67.9187,67.8690,67.9187,11
2024-08-13 17:33:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:34:00,67.9187,67.9187,67.9187,67.9187,20
2024-08-13 17:35:00,67.8690,67.8690,67.8690,67.8690,7
2024-08-13 17:36:00,67.8988,67.8988,67.8988,67.8988,3
2024-08-13 17:37:00,67.8988,67.8988,67.8690,67.8690,4
2024-08-13 17:38:00,67.8988,67.8988,67.8988,67.8988,2
2024-08-13 17:40:00,67.8988,67.8988,67.8988,67.8988,1
2024-08-13 17:41:00,67.9386,67.9386,67.8690,67.8690,2
2024-08-13 17:42:00,67.9038,67.9386,67.8690,67.9038,11
2024-08-13 17:43:00,67.9386,67.9386,67.8690,67.9038,9
2024-08-13 17:44:00,67.9038,67.9386,67.9038,67.9187,38
2024-08-13 17:45:00,67.9386,67.9386,67.9386,67.9386,44
2024-08-13 17:46:00,67.9038,67.9038,67.8988,67.8988,2
2024-08-13 17:48:00,67.9038,67.9038,67.9038,67.9038,1
2024-08-13 17:49:00,67.9187,67.9187,67.9187,67.9187,1
2024-08-13 17:51:00,67.9386,67.9386,67.8690,67.9038,19
2024-08-13 17:52:00,67.9038,67.9038,67.8889,67.8889,146
2024-08-13 17:53:00,67.8988,67.9386,67.8988,67.9038,31
2024-08-13 17:54:00,67.9187,67.9187,67.8988,67.8988,4
2024-08-13 17:55:00,67.9038,67.9038,67.8690,67.9038,6
2024-08-13 17:56:00,67.9038,67.9088,67.9038,67.9038,3
2024-08-13 17:57:00,67.8988,67.8988,67.8988,67.8988,5
