,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-05-09 05:13:00,170.4887,170.4987,170.4887,170.4987,7
2024-05-09 05:14:00,170.4987,170.4987,170.4887,170.4987,21
2024-05-09 05:15:00,170.4288,170.4288,170.4288,170.4288,49
2024-05-09 05:16:00,170.5086,170.5086,170.5086,170.5086,14
2024-05-09 05:18:00,170.3989,170.4887,170.2493,170.3291,240
2024-05-09 05:19:00,170.3291,170.3291,170.3291,170.3291,5
2024-05-09 05:20:00,170.4588,170.4588,170.4588,170.4588,3
2024-05-09 05:21:00,170.4588,170.4588,170.4588,170.4588,25
2024-05-09 05:24:00,170.3291,170.3291,170.3291,170.3291,2
2024-05-09 05:26:00,170.3690,170.4588,170.3690,170.4588,70
2024-05-09 05:28:00,170.3690,170.4588,170.3690,170.3690,70
2024-05-09 05:29:00,170.3889,170.3889,170.3889,170.3889,1
2024-05-09 05:36:00,170.5086,170.5086,170.3789,170.3789,19
2024-05-09 05:38:00,170.5086,170.5086,170.5086,170.5086,6
2024-05-09 05:39:00,170.3590,170.3590,170.3590,170.3590,43
2024-05-09 05:41:00,170.4887,170.4887,170.4887,170.4887,5
2024-05-09 05:42:00,170.4887,170.4887,170.4887,170.4887,4
2024-05-09 05:56:00,170.4687,170.4687,170.4687,170.4687,39
2024-05-09 05:57:00,170.4588,170.4687,170.4588,170.4687,155
2024-05-09 05:58:00,170.4687,170.5386,170.4687,170.5286,945
2024-05-09 06:00:00,170.5386,170.5386,170.5386,170.5386,24
2024-05-09 06:04:00,170.5186,170.5186,170.5186,170.5186,2
2024-05-09 06:07:00,170.5086,170.5386,170.5086,170.5386,26
2024-05-09 06:13:00,170.5286,170.5286,170.5286,170.5286,4
2024-05-09 06:16:00,170.5286,170.5386,170.5286,170.5386,29
2024-05-09 06:17:00,170.5386,170.5386,170.5386,170.5386,1
2024-05-09 06:19:00,170.4288,170.5386,170.3789,170.5386,103
2024-05-09 06:21:00,170.5884,170.6084,170.5386,170.5386,228
2024-05-09 06:22:00,170.4288,170.4288,170.4288,170.4288,1
2024-05-09 06:26:00,170.5485,170.5485,170.5485,170.5485,5
2024-05-09 06:32:00,170.6084,170.6084,170.5386,170.5386,221
2024-05-09 06:37:00,170.5485,170.6084,170.4987,170.5485,875
2024-05-09 06:39:00,170.6383,170.6383,170.6383,170.6383,10
2024-05-09 06:47:00,170.5984,170.5984,170.5984,170.5984,1
2024-05-09 06:50:00,170.5685,170.5685,170.5685,170.5685,2
2024-05-09 06:51:00,170.5884,170.6483,170.5884,170.6483,200
2024-05-09 06:54:00,170.6184,170.6184,170.5685,170.5685,2
2024-05-09 06:56:00,170.5685,170.5685,170.5685,170.5685,7
2024-05-09 06:57:00,170.6383,170.6383,170.4987,170.4987,2
2024-05-09 06:58:00,170.4887,170.6782,169.6208,169.8104,4363
2024-05-09 06:59:00,169.6907,169.8303,169.6807,169.7306,161
2024-05-09 07:00:00,170.0697,170.3291,170.0697,170.0996,1767
2024-05-09 07:01:00,170.0996,170.1096,169.8203,169.8503,1371
2024-05-09 07:02:00,169.7705,169.8602,169.7705,169.8403,876
2024-05-09 07:03:00,169.8104,169.8503,169.8004,169.8503,88
2024-05-09 07:04:00,169.9400,169.9400,169.9001,169.9001,41
