,open_F,high_F,low_F,close_F,volume_F
2024-04-18 17:22:00,11.7428,11.7476,11.7428,11.7476,501
2024-04-18 17:23:00,11.7476,11.7525,11.7476,11.7525,32
2024-04-18 17:24:00,11.7525,11.7525,11.7525,11.7525,1
2024-04-18 17:25:00,11.7428,11.7476,11.7428,11.7428,5
2024-04-18 17:26:00,11.7428,11.7476,11.7428,11.7428,18
2024-04-18 17:27:00,11.7428,11.7525,11.7428,11.7430,23
2024-04-18 17:28:00,11.7525,11.7525,11.7428,11.7525,23
2024-04-18 17:29:00,11.7525,11.7525,11.7525,11.7525,1
2024-04-18 17:30:00,11.7524,11.7525,11.7476,11.7476,6
2024-04-18 17:31:00,11.7525,11.7525,11.7476,11.7476,22
2024-04-18 17:32:00,11.7476,11.7525,11.7476,11.7525,7
2024-04-18 17:33:00,11.7525,11.7525,11.7428,11.7428,29
2024-04-18 17:34:00,11.7525,11.7525,11.7476,11.7525,17
2024-04-18 17:35:00,11.7430,11.7525,11.7430,11.7476,71
2024-04-18 17:36:00,11.7428,11.7525,11.7428,11.7525,100
2024-04-18 17:37:00,11.7428,11.7525,11.7428,11.7525,936
2024-04-18 17:38:00,11.7476,11.7476,11.7428,11.7476,109
2024-04-18 17:39:00,11.7428,11.7476,11.7428,11.7428,6
2024-04-18 17:41:00,11.7525,11.7525,11.7428,11.7428,54
2024-04-18 17:42:00,11.7525,11.7525,11.7525,11.7525,53
2024-04-18 17:43:00,11.7428,11.7428,11.7428,11.7428,250
2024-04-18 17:44:00,11.7330,11.7525,11.7330,11.7525,6
2024-04-18 17:45:00,11.7428,11.7525,11.7428,11.7525,35
2024-04-18 17:46:00,11.7428,11.7525,11.7330,11.7525,42
2024-04-18 17:47:00,11.7524,11.7524,11.7330,11.7330,61
2024-04-18 17:48:00,11.7525,11.7525,11.7330,11.7428,14
2024-04-18 17:49:00,11.7428,11.7428,11.7428,11.7428,101
2024-04-18 17:50:00,11.7525,11.7525,11.7428,11.7525,28
2024-04-18 17:51:00,11.7525,11.7525,11.7330,11.7330,384
2024-04-18 17:52:00,11.7525,11.7525,11.7428,11.7428,9
2024-04-18 17:53:00,11.7330,11.7428,11.7330,11.7428,3
2024-04-18 17:54:00,11.7525,11.7525,11.7428,11.7428,3
2024-04-18 17:55:00,11.7525,11.7525,11.7330,11.7428,22
2024-04-18 17:56:00,11.7525,11.7525,11.7525,11.7525,1
2024-04-18 17:57:00,11.7330,11.7525,11.7330,11.7525,34
2024-04-18 17:59:00,11.7525,11.7525,11.7428,11.7525,72
2024-04-18 18:00:00,11.7525,11.7525,11.7428,11.7428,9
2024-04-18 18:01:00,11.7525,11.7525,11.7330,11.7428,77
2024-04-18 18:02:00,11.7525,11.7525,11.7428,11.7428,10
2024-04-18 18:03:00,11.7525,11.7525,11.7428,11.7428,4
2024-04-18 18:04:00,11.7330,11.7525,11.7330,11.7525,9
2024-04-18 18:05:00,11.7524,11.7524,11.7524,11.7524,250
