,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-05-03 13:35:00,146.5641,146.6232,146.5641,146.6133,7761
2024-05-03 13:36:00,146.6035,146.6626,146.6016,146.6429,7016
2024-05-03 13:37:00,146.6430,146.6626,146.6232,146.6429,11257
2024-05-03 13:38:00,146.6527,146.6724,146.6330,146.6626,7510
2024-05-03 13:39:00,146.6724,146.7019,146.6626,146.6822,4583
2024-05-03 13:40:00,146.6921,146.7610,146.6822,146.7019,11970
2024-05-03 13:41:00,146.6921,146.7708,146.6822,146.7708,7603
2024-05-03 13:42:00,146.7708,146.7905,146.7310,146.7905,11476
2024-05-03 13:43:00,146.8004,146.8004,146.7610,146.7708,5270
2024-05-03 13:44:00,146.7611,146.8004,146.7611,146.7708,2500
2024-05-03 13:45:00,146.7708,146.7708,146.7216,146.7315,3333
2024-05-03 13:46:00,146.7226,146.7315,146.6822,146.6822,5832
2024-05-03 13:47:00,146.6832,146.7905,146.6724,146.7512,46750
2024-05-03 13:48:00,146.7561,146.7561,146.7265,146.7309,5186
2024-05-03 13:49:00,146.7216,146.7216,146.6921,146.6921,8629
2024-05-03 13:50:00,146.6921,146.6921,146.6527,146.6527,11567
2024-05-03 13:51:00,146.6527,146.6724,146.5937,146.5937,35444
2024-05-03 13:52:00,146.5740,146.6183,146.5543,146.5838,12195
2024-05-03 13:53:00,146.5937,146.6133,146.5887,146.6133,9552
2024-05-03 13:54:00,146.6133,146.6183,146.5937,146.5937,6401
2024-05-03 13:55:00,146.6035,146.6183,146.5986,146.6133,8637
2024-05-03 13:56:00,146.5937,146.6183,146.5937,146.6183,3504
2024-05-03 13:57:00,146.6183,146.7118,146.5937,146.6970,28160
2024-05-03 13:58:00,146.7069,146.7093,146.6330,146.6330,7782
2024-05-03 13:59:00,146.6330,146.6527,146.6330,146.6330,3510
2024-05-03 14:00:00,146.6429,146.6527,146.6232,146.6527,4225
2024-05-03 14:01:00,146.6527,146.6576,146.6232,146.6330,6478
2024-05-03 14:02:00,146.6330,146.6429,146.5937,146.6313,10363
2024-05-03 14:03:00,146.6330,146.6429,146.5838,146.6330,6549
2024-05-03 14:04:00,146.6330,146.6428,146.6232,146.6232,2792
2024-05-03 14:05:00,146.6330,146.6429,146.6084,146.6330,8587
2024-05-03 14:06:00,146.6232,146.6527,146.6232,146.6527,11297
2024-05-03 14:07:00,146.6232,146.6527,146.6232,146.6429,5698
2024-05-03 14:08:00,146.6527,146.6626,146.6330,146.6429,12402
2024-05-03 14:09:00,146.6527,146.7708,146.6429,146.7708,18846
2024-05-03 14:10:00,146.7707,146.7807,146.7413,146.7512,67411
2024-05-03 14:11:00,146.7610,146.8004,146.7413,146.7512,11979
2024-05-03 14:12:00,146.7413,146.7708,146.7216,146.7413,10342
2024-05-03 14:13:00,146.7700,146.7708,146.6330,146.6626,14171
2024-05-03 14:14:00,146.6822,146.7019,146.6724,146.6822,7343
2024-05-03 14:15:00,146.6822,146.7019,146.6724,146.7019,8586
2024-05-03 14:16:00,146.6995,146.7486,146.6995,146.7486,7017
2024-05-03 14:17:00,146.7512,146.8201,146.7512,146.8201,5349
2024-05-03 14:18:00,146.8299,146.8545,146.7708,146.7807,7310
2024-05-03 14:19:00,146.7807,146.8127,146.7561,146.8004,5408
2024-05-03 14:20:00,146.8102,146.8299,146.8053,146.8102,7784
2024-05-03 14:21:00,146.8299,146.8496,146.8261,146.8496,2660
2024-05-03 14:22:00,146.8496,146.8621,146.8201,146.8621,5880
2024-05-03 14:23:00,146.8496,146.8594,146.8398,146.8398,3221
2024-05-03 14:24:00,146.8447,146.9087,146.8299,146.8889,11450
2024-05-03 14:25:00,146.8693,146.8776,146.8299,146.8693,10528
2024-05-03 14:26:00,146.8693,146.8706,146.8102,146.8102,6943
2024-05-03 14:27:00,146.8201,146.8496,146.8102,146.8496,3829
2024-05-03 14:28:00,146.8398,146.8693,146.8201,146.8594,4503
2024-05-03 14:29:00,146.8691,146.8691,146.7905,146.7905,4190
2024-05-03 14:30:00,146.7905,146.8004,146.7512,146.7512,8578
2024-05-03 14:31:00,146.7413,146.7720,146.7413,146.7708,5221
2024-05-03 14:32:00,146.7512,146.7807,146.7413,146.7512,6398
2024-05-03 14:33:00,146.7413,146.7512,146.7019,146.7093,8070
2024-05-03 14:34:00,146.7118,146.7315,146.6921,146.7315,15489
2024-05-03 14:35:00,146.7413,146.7610,146.7315,146.7512,10500
2024-05-03 14:36:00,146.7512,146.7708,146.6921,146.6921,5429
2024-05-03 14:37:00,146.6822,146.7118,146.6527,146.7118,7076
2024-05-03 14:38:00,146.7048,146.7048,146.6626,146.6822,5623
2024-05-03 14:39:00,146.6724,146.6822,146.6527,146.6626,6047
2024-05-03 14:40:00,146.6724,146.6822,146.6330,146.6724,6363
2024-05-03 14:41:00,146.6822,146.7807,146.6822,146.7610,10908
2024-05-03 14:42:00,146.7708,146.7856,146.7512,146.7807,19400
2024-05-03 14:43:00,146.7708,146.8004,146.7561,146.8004,2900
2024-05-03 14:44:00,146.8004,146.8004,146.7708,146.7905,4420
2024-05-03 14:45:00,146.7905,146.7905,146.7512,146.7522,4383
2024-05-03 14:46:00,146.7610,146.7659,146.7315,146.7413,5129
2024-05-03 14:47:00,146.7167,146.7512,146.7167,146.7512,11416
2024-05-03 14:48:00,146.7512,146.7512,146.6626,146.6822,16180
2024-05-03 14:49:00,146.6822,146.7118,146.6724,146.7019,18233
2024-05-03 14:50:00,146.7118,146.7216,146.7019,146.7019,5489
2024-05-03 14:51:00,146.6921,146.7019,146.6773,146.7019,7706
2024-05-03 14:52:00,146.7069,146.7216,146.6822,146.7118,7869
2024-05-03 14:53:00,146.7019,146.7118,146.7019,146.7067,3359
2024-05-03 14:54:00,146.7019,146.7019,146.6822,146.7019,5247
