,open_META,high_META,low_META,close_META,volume_META
2024-06-13 15:50:00,503.6977,503.8980,503.6329,503.8574,16709
2024-06-13 15:51:00,503.7776,503.8774,503.5680,503.5680,17808
2024-06-13 15:52:00,503.5480,504.0271,503.5380,503.8974,13849
2024-06-13 15:53:00,503.8674,503.9572,503.7077,503.7676,10894
2024-06-13 15:54:00,503.7476,503.8674,503.4782,503.6179,23156
2024-06-13 15:55:00,503.6478,503.7826,503.2636,503.7576,27393
2024-06-13 15:56:00,503.7277,504.0570,503.6778,503.9273,28435
2024-06-13 15:57:00,503.9173,503.9602,503.6279,503.8674,29216
2024-06-13 15:58:00,503.8674,503.9472,503.5879,503.7876,42703
2024-06-13 15:59:00,503.7876,503.8724,503.0290,503.0290,171803
2024-06-13 16:00:00,502.8294,503.9859,502.8294,503.1288,2011209
2024-06-13 16:01:00,503.4682,503.7776,502.5799,502.5799,6176
2024-06-13 16:02:00,503.0091,503.1288,502.5799,502.7945,30773
2024-06-13 16:03:00,502.7945,502.9991,502.5799,502.8793,108
2024-06-13 16:04:00,502.7496,503.1288,502.7496,502.9741,16788
2024-06-13 16:05:00,503.0290,503.1288,502.5300,502.8094,13601
2024-06-13 16:06:00,502.8094,503.1288,502.7795,503.1288,13817
2024-06-13 16:07:00,502.9641,502.9691,502.3703,502.3703,855
2024-06-13 16:08:00,502.6497,502.6497,502.4059,502.4059,136
2024-06-13 16:09:00,502.6398,503.0021,502.6398,502.6398,218
2024-06-13 16:10:00,502.6398,502.9891,502.6398,502.8494,69
2024-06-13 16:11:00,502.6597,502.7396,502.4102,502.7396,2699
2024-06-13 16:12:00,502.7396,503.1288,502.5799,502.9976,1394
2024-06-13 16:13:00,502.9976,502.9991,502.7895,502.9192,1444
2024-06-13 16:14:00,502.9192,503.0091,502.5699,502.5699,1066
2024-06-13 16:15:00,503.1288,503.1288,502.3707,502.5499,900
2024-06-13 16:16:00,502.6647,502.7296,502.4302,502.4302,526
2024-06-13 16:17:00,502.4402,502.9092,502.4302,502.7795,530
2024-06-13 16:18:00,502.7795,502.8793,502.4302,502.4402,176
2024-06-13 16:19:00,502.9092,502.9092,502.4402,502.7496,74
2024-06-13 16:20:00,503.1288,503.1288,502.4402,502.4601,1466
2024-06-13 16:21:00,502.6497,502.8294,502.4202,502.6997,1018
2024-06-13 16:22:00,502.6997,502.7496,502.1308,502.1308,1902
2024-06-13 16:23:00,502.0309,503.2248,502.0309,502.3004,724
2024-06-13 16:24:00,502.1363,502.3603,502.1363,502.2455,177
2024-06-13 16:25:00,502.3601,502.3601,502.1507,502.3104,69
2024-06-13 16:26:00,502.3503,502.7595,502.1308,502.4901,437
2024-06-13 16:27:00,502.5400,502.5400,502.3503,502.3503,27
2024-06-13 16:28:00,502.3304,502.6398,502.1407,502.3853,224
2024-06-13 16:29:00,502.3503,502.4901,502.1308,502.2306,117
2024-06-13 16:30:00,502.1507,502.3304,502.0309,502.0709,1275
2024-06-13 16:31:00,502.3304,502.6298,502.2405,502.6298,20
2024-06-13 16:32:00,502.3304,502.3403,502.2206,502.2206,10
2024-06-13 16:33:00,502.6298,502.6298,502.0459,502.3903,58
2024-06-13 16:34:00,502.6148,502.6148,502.0309,502.2505,831
2024-06-13 16:35:00,502.1906,502.4002,501.8812,501.9212,1620
2024-06-13 16:36:00,502.1507,502.1507,501.9311,502.1507,204
2024-06-13 16:37:00,502.2705,502.2705,501.9311,502.0459,222
2024-06-13 16:38:00,502.2505,502.2505,501.9571,501.9810,133
2024-06-13 16:39:00,501.9810,503.1288,501.8313,502.1208,197238
2024-06-13 16:40:00,502.0309,502.0309,501.3622,501.9711,154
2024-06-13 16:41:00,501.9311,501.9711,501.4820,501.7016,44
2024-06-13 16:42:00,501.8313,501.9511,501.7565,501.7565,67
2024-06-13 16:43:00,501.5319,501.9711,501.5319,501.8713,224
2024-06-13 16:44:00,501.9711,503.1288,501.6317,501.6317,1213977
2024-06-13 16:45:00,501.8064,501.9212,501.6716,501.8213,119
2024-06-13 16:46:00,501.6716,501.9611,501.6716,501.8213,85
2024-06-13 16:47:00,501.6791,501.8213,501.6791,501.8213,4
2024-06-13 16:48:00,501.6791,501.8213,501.6716,501.8114,324
2024-06-13 16:49:00,501.8114,501.9311,501.6716,501.6716,593
2024-06-13 16:50:00,501.6716,502.5300,501.6716,502.0509,51
2024-06-13 16:51:00,501.9611,502.2306,501.9611,502.2306,22
2024-06-13 16:52:00,501.9910,502.2306,501.9910,502.2306,5
2024-06-13 16:53:00,502.2106,502.3803,502.2106,502.2805,136
2024-06-13 16:54:00,502.3403,502.3403,502.2006,502.3403,4
2024-06-13 16:55:00,502.0609,502.2805,502.0309,502.1208,86
2024-06-13 16:56:00,502.0509,502.1108,501.6317,502.1108,1561
2024-06-13 16:57:00,501.8713,502.1108,501.8713,502.1108,8
2024-06-13 16:58:00,502.1008,502.1108,501.8713,502.0309,77
2024-06-13 16:59:00,502.0808,502.0808,501.8713,502.0808,17
2024-06-13 17:00:00,502.1008,502.1258,502.1008,502.1258,202
2024-06-13 17:01:00,502.1008,502.1308,501.6537,501.6537,434
2024-06-13 17:02:00,501.8812,502.0609,501.6417,501.6417,52
2024-06-13 17:03:00,501.8862,502.1008,501.8862,502.1008,3
2024-06-13 17:04:00,502.0808,502.0808,501.9361,501.9361,3
2024-06-13 17:05:00,501.9361,502.1308,501.8812,502.1208,13
2024-06-13 17:06:00,501.7415,502.1308,501.7415,502.1308,6
2024-06-13 17:07:00,502.1208,502.1208,501.9461,502.1208,39
2024-06-13 17:08:00,502.1308,502.1308,501.8713,501.8713,43
