,open_ORCL,high_ORCL,low_ORCL,close_ORCL,volume_ORCL
2024-05-29 12:06:00,122.9046,122.9096,122.8946,122.8946,3488
2024-05-29 12:07:00,122.8946,122.9145,122.8847,122.9096,5124
2024-05-29 12:08:00,122.9145,122.9444,122.9046,122.9145,3574
2024-05-29 12:09:00,122.9145,122.9191,122.8996,122.9046,3371
2024-05-29 12:10:00,122.8946,122.8946,122.8349,122.8349,4681
2024-05-29 12:11:00,122.8349,122.9046,122.8349,122.9046,8391
2024-05-29 12:12:00,122.9046,122.9046,122.8648,122.8648,1787
2024-05-29 12:13:00,122.8747,122.8797,122.8648,122.8648,2561
2024-05-29 12:14:00,122.8648,122.8648,122.8349,122.8513,4536
2024-05-29 12:15:00,122.8499,122.8648,122.8449,122.8648,2778
2024-05-29 12:16:00,122.8747,122.8797,122.8598,122.8648,3209
2024-05-29 12:17:00,122.8648,122.8847,122.8648,122.8847,4625
2024-05-29 12:18:00,122.8946,122.9145,122.8747,122.9096,8404
2024-05-29 12:19:00,122.9145,122.9444,122.9145,122.9444,5174
2024-05-29 12:20:00,122.9444,123.0041,122.9444,123.0005,4184
2024-05-29 12:21:00,122.9989,123.0439,122.9989,123.0041,7239
2024-05-29 12:22:00,123.0339,123.0339,123.0241,123.0273,3261
2024-05-29 12:23:00,123.0339,123.0638,122.9742,123.0041,11389
2024-05-29 12:24:00,123.0240,123.0339,123.0190,123.0339,2401
2024-05-29 12:25:00,123.0339,123.0837,123.0339,123.0837,3667
2024-05-29 12:26:00,123.0716,123.0986,123.0716,123.0986,5335
2024-05-29 12:27:00,123.1135,123.1235,123.0837,123.0837,4504
2024-05-29 12:28:00,123.0588,123.0638,123.0439,123.0439,1686
2024-05-29 12:29:00,123.0638,123.0638,123.0240,123.0339,3045
2024-05-29 12:30:00,123.0289,123.0538,122.9941,122.9941,5647
2024-05-29 12:32:00,123.0041,123.0240,123.0041,123.0163,2441
2024-05-29 12:33:00,123.0240,123.0439,123.0240,123.0439,1915
2024-05-29 12:34:00,123.0389,123.0937,123.0339,123.0837,5751
2024-05-29 12:35:00,123.0837,123.1185,123.0638,123.0837,7247
2024-05-29 12:36:00,123.0837,123.0837,123.0548,123.0606,6237
2024-05-29 12:37:00,123.0737,123.1235,123.0737,123.1235,4919
2024-05-29 12:38:00,123.1284,123.1334,123.1242,123.1334,2144
2024-05-29 12:39:00,123.1235,123.1235,123.1235,123.1235,2603
2024-05-29 12:40:00,123.1135,123.1135,123.0936,123.1036,3334
2024-05-29 12:41:00,123.1036,123.1125,123.0986,123.1036,4675
2024-05-29 12:42:00,123.0986,123.1235,123.0986,123.1160,3634
2024-05-29 12:43:00,123.1246,123.1334,123.0936,123.0936,5767
2024-05-29 12:44:00,123.0936,123.0936,123.0548,123.0737,2616
2024-05-29 12:45:00,123.0936,123.0936,123.0240,123.0389,5187
2024-05-29 12:46:00,123.0439,123.0975,123.0439,123.0936,2481
2024-05-29 12:47:00,123.0886,123.1036,123.0886,123.0886,2655
2024-05-29 12:48:00,123.0837,123.0936,123.0837,123.0936,1825
2024-05-29 12:49:00,123.0738,123.0795,123.0738,123.0795,1243
2024-05-29 12:50:00,123.0886,123.1235,123.0886,123.1185,3235
2024-05-29 12:51:00,123.1334,123.1434,123.1334,123.1434,5574
2024-05-29 12:52:00,123.1531,123.1981,123.1483,123.1981,8173
2024-05-29 12:53:00,123.2030,123.2031,123.1931,123.1931,2642
2024-05-29 12:54:00,123.1931,123.1931,123.1235,123.1235,6065
2024-05-29 12:55:00,123.1235,123.1235,123.1036,123.1036,2371
2024-05-29 12:56:00,123.1085,123.1334,123.1085,123.1334,3863
2024-05-29 12:57:00,123.1533,123.1533,123.1384,123.1384,2736
2024-05-29 12:58:00,123.1532,123.1732,123.1434,123.1483,4965
2024-05-29 12:59:00,123.1434,123.1434,123.0946,123.1036,3897
2024-05-29 13:00:00,123.1036,123.1085,123.0638,123.0886,5684
2024-05-29 13:01:00,123.0737,123.0737,122.9494,122.9494,14461
2024-05-29 13:02:00,122.9543,122.9742,122.9394,122.9643,3551
2024-05-29 13:03:00,122.9742,122.9842,122.9494,122.9494,2732
2024-05-29 13:04:00,122.9543,122.9941,122.9543,122.9941,1814
2024-05-29 13:05:00,122.9842,122.9842,122.9593,122.9792,6472
2024-05-29 13:06:00,122.9643,122.9742,122.9096,122.9096,4411
2024-05-29 13:07:00,122.9145,122.9444,122.9145,122.9245,3213
2024-05-29 13:08:00,122.9146,122.9543,122.9046,122.9543,3202
2024-05-29 13:09:00,122.9742,122.9742,122.9593,122.9643,1516
2024-05-29 13:10:00,122.9742,122.9842,122.9643,122.9643,3217
2024-05-29 13:11:00,122.9643,122.9643,122.9444,122.9444,2626
2024-05-29 13:12:00,122.9494,122.9494,122.9031,122.9145,4861
2024-05-29 13:13:00,122.9096,122.9096,122.8847,122.8946,2606
2024-05-29 13:14:00,122.8847,122.8946,122.8539,122.8548,10277
2024-05-29 13:15:00,122.8548,122.8946,122.8499,122.8847,4044
2024-05-29 13:16:00,122.8747,122.8897,122.8698,122.8797,3683
2024-05-29 13:17:00,122.8698,122.8698,122.8250,122.8250,4036
2024-05-29 13:18:00,122.8349,122.8449,122.8251,122.8399,7113
2024-05-29 13:19:00,122.8349,122.8349,122.8160,122.8250,3666
2024-05-29 13:20:00,122.8399,122.8648,122.8349,122.8648,7453
2024-05-29 13:21:00,122.8648,122.8747,122.8449,122.8449,5037
2024-05-29 13:22:00,122.8548,122.8946,122.8548,122.8897,3320
2024-05-29 13:23:00,122.8847,122.8847,122.8648,122.8747,2215
2024-05-29 13:24:00,122.8747,122.9145,122.8747,122.8847,4767
2024-05-29 13:25:00,122.8944,122.8944,122.8548,122.8747,2828
2024-05-29 13:26:00,122.8548,122.9046,122.8548,122.9046,3962
2024-05-29 13:27:00,122.9145,122.9245,122.8946,122.9096,3083
2024-05-29 13:28:00,122.9027,122.9046,122.8847,122.8847,1795
2024-05-29 13:29:00,122.8847,122.8847,122.8349,122.8847,11083
2024-05-29 13:30:00,122.8946,122.8996,122.8747,122.8747,2918
2024-05-29 13:31:00,122.8680,122.8747,122.8474,122.8747,4366
2024-05-29 13:32:00,122.8747,122.8747,122.8150,122.8150,6525
2024-05-29 13:33:00,122.8051,122.8140,122.7951,122.8026,2343
2024-05-29 13:34:00,122.7951,122.7951,122.7560,122.7653,3606
2024-05-29 13:35:00,122.7653,122.7852,122.7553,122.7752,8060
2024-05-29 13:36:00,122.7752,122.8051,122.7703,122.8051,5998
2024-05-29 13:37:00,122.7951,122.8150,122.7852,122.8051,3343
2024-05-29 13:38:00,122.8150,122.8250,122.8051,122.8150,3581
2024-05-29 13:39:00,122.8150,122.8449,122.8150,122.8300,4728
2024-05-29 13:40:00,122.8250,122.8250,122.8051,122.8051,3558
2024-05-29 13:41:00,122.8150,122.8150,122.7951,122.8001,4164
2024-05-29 13:42:00,122.8001,122.8050,122.7254,122.7254,5026
2024-05-29 13:43:00,122.7056,122.7255,122.7056,122.7255,3987
2024-05-29 13:44:00,122.7305,122.7645,122.7270,122.7645,5438
2024-05-29 13:45:00,122.7531,122.7653,122.7531,122.7553,3492
2024-05-29 13:46:00,122.7553,122.8150,122.7553,122.8150,7227
2024-05-29 13:47:00,122.7852,122.8051,122.7752,122.7752,3092
2024-05-29 13:48:00,122.7752,122.7752,122.7454,122.7553,3697
2024-05-29 13:49:00,122.7653,122.7752,122.7489,122.7653,4615
2024-05-29 13:50:00,122.7752,122.8272,122.7752,122.8051,9308
2024-05-29 13:51:00,122.7951,122.8051,122.7852,122.8051,2451
2024-05-29 13:52:00,122.8250,122.9145,122.8250,122.8648,12321
2024-05-29 13:53:00,122.8548,122.8647,122.8449,122.8647,1480
2024-05-29 13:54:00,122.8648,122.8747,122.8539,122.8747,5039
2024-05-29 13:55:00,122.8548,122.8548,122.8349,122.8349,2994
2024-05-29 13:56:00,122.8250,122.8250,122.7852,122.7852,2931
2024-05-29 13:57:00,122.7852,122.8150,122.7852,122.8150,5738
2024-05-29 13:58:00,122.8250,122.8548,122.8250,122.8250,3904
2024-05-29 13:59:00,122.8349,122.8349,122.8001,122.8001,2354
2024-05-29 14:00:00,122.8051,122.8051,122.7653,122.7852,4750
2024-05-29 14:01:00,122.7852,122.8051,122.7852,122.8041,4640
2024-05-29 14:02:00,122.7951,122.8051,122.7752,122.8051,8546
2024-05-29 14:03:00,122.7852,122.8051,122.7852,122.7852,3059
2024-05-29 14:04:00,122.7852,122.8101,122.7852,122.7951,2408
2024-05-29 14:05:00,122.7752,122.7902,122.7752,122.7852,3055
2024-05-29 14:06:00,122.7852,122.7852,122.7553,122.7673,4409
2024-05-29 14:07:00,122.7703,122.7752,122.7255,122.7255,2941
2024-05-29 14:08:00,122.7056,122.7454,122.7056,122.7305,6744
2024-05-29 14:09:00,122.7553,122.7653,122.7530,122.7653,6456
2024-05-29 14:10:00,122.7668,122.7852,122.7668,122.7802,3555
2024-05-29 14:11:00,122.7752,122.8150,122.7752,122.7951,6000
2024-05-29 14:12:00,122.7951,122.8150,122.7752,122.7951,6113
2024-05-29 14:13:00,122.7991,122.8001,122.7852,122.8001,3850
2024-05-29 14:14:00,122.7951,122.8250,122.7852,122.8250,3872
2024-05-29 14:15:00,122.8150,122.8150,122.7454,122.7454,3823
2024-05-29 14:16:00,122.7155,122.7155,122.6956,122.7155,5560
2024-05-29 14:17:00,122.7056,122.7056,122.6857,122.6857,2650
2024-05-29 14:18:00,122.6956,122.7255,122.6659,122.6659,5933
2024-05-29 14:19:00,122.6658,122.6658,122.6359,122.6409,3810
2024-05-29 14:20:00,122.6263,122.6359,122.6160,122.6160,4635
2024-05-29 14:21:00,122.6011,122.6358,122.6011,122.6211,3938
2024-05-29 14:22:00,122.6260,122.6459,122.6210,122.6359,3265
2024-05-29 14:23:00,122.6409,122.6409,122.6160,122.6359,4679
2024-05-29 14:24:00,122.6260,122.6459,122.6260,122.6459,3634
2024-05-29 14:25:00,122.6558,122.6757,122.6257,122.6310,7285
2024-05-29 14:26:00,122.6260,122.6459,122.6260,122.6459,3272
2024-05-29 14:27:00,122.6459,122.6459,122.6061,122.6260,4873
2024-05-29 14:28:00,122.6160,122.6160,122.6061,122.6160,3100
2024-05-29 14:29:00,122.6160,122.6160,122.5961,122.5961,4029
2024-05-29 14:30:00,122.5961,122.5961,122.5663,122.5713,6048
2024-05-29 14:31:00,122.5663,122.5961,122.5613,122.5961,5496
2024-05-29 14:32:00,122.5912,122.6260,122.5912,122.6061,6664
2024-05-29 14:33:00,122.5961,122.6011,122.5514,122.5862,17576
2024-05-29 14:34:00,122.5961,122.6197,122.5961,122.6061,4660
2024-05-29 14:35:00,122.6011,122.6160,122.5748,122.5748,4170
2024-05-29 14:36:00,122.5663,122.5663,122.5012,122.5166,5734
2024-05-29 14:37:00,122.5166,122.5166,122.4867,122.4867,2852
2024-05-29 14:38:00,122.4895,122.5066,122.4867,122.4967,4158
2024-05-29 14:39:00,122.5016,122.5016,122.4867,122.4867,1929
2024-05-29 14:40:00,122.4867,122.4867,122.4569,122.4768,6241
2024-05-29 14:41:00,122.4867,122.5365,122.4867,122.5365,5487
2024-05-29 14:42:00,122.5464,122.5564,122.5066,122.5066,6434
2024-05-29 14:43:00,122.5066,122.5315,122.4867,122.4914,3184
2024-05-29 14:44:00,122.5066,122.5265,122.5004,122.5166,6691
2024-05-29 14:45:00,122.5066,122.5066,122.4071,122.4370,8571
2024-05-29 14:46:00,122.4320,122.4469,122.4320,122.4462,2522
2024-05-29 14:47:00,122.4506,122.4917,122.4370,122.4917,10387
2024-05-29 14:48:00,122.4867,122.5166,122.4867,122.4967,3861
2024-05-29 14:49:00,122.4867,122.5026,122.4569,122.4569,2308
2024-05-29 14:50:00,122.4469,122.5066,122.4469,122.5066,4998
2024-05-29 14:51:00,122.5066,122.5107,122.4867,122.5016,4212
2024-05-29 14:52:00,122.5116,122.5215,122.4867,122.4867,3793
2024-05-29 14:53:00,122.4867,122.5066,122.4768,122.5066,2657
2024-05-29 14:54:00,122.5066,122.5464,122.5066,122.5464,4272
2024-05-29 14:55:00,122.5365,122.5365,122.5166,122.5166,2800
2024-05-29 14:56:00,122.5166,122.5166,122.4569,122.4768,5433
2024-05-29 14:57:00,122.4569,122.4917,122.4370,122.4668,11484
2024-05-29 14:58:00,122.4668,122.4817,122.4569,122.4569,2707
2024-05-29 14:59:00,122.4370,122.4768,122.4370,122.4668,6107
2024-05-29 15:00:00,122.4618,122.5166,122.4618,122.5116,3970
2024-05-29 15:01:00,122.5066,122.5414,122.5066,122.5116,7233
2024-05-29 15:02:00,122.4967,122.5016,122.4967,122.4967,1920
2024-05-29 15:03:00,122.4967,122.5016,122.4867,122.4867,3833
2024-05-29 15:04:00,122.4867,122.4967,122.4768,122.4768,5341
2024-05-29 15:05:00,122.4768,122.4768,122.4569,122.4569,2789
2024-05-29 15:06:00,122.4469,122.5564,122.4469,122.5265,10279
2024-05-29 15:07:00,122.5166,122.5166,122.4967,122.5066,6980
2024-05-29 15:08:00,122.5066,122.5365,122.4917,122.5365,8245
2024-05-29 15:09:00,122.5365,122.5464,122.5215,122.5414,5877
2024-05-29 15:10:00,122.5464,122.6359,122.5464,122.6310,21257
2024-05-29 15:11:00,122.6160,122.6160,122.5365,122.5504,8431
2024-05-29 15:12:00,122.5494,122.6011,122.5464,122.6011,3579
2024-05-29 15:13:00,122.6011,122.6409,122.6011,122.6409,5961
2024-05-29 15:14:00,122.6459,122.6857,122.6459,122.6803,7670
2024-05-29 15:15:00,122.6956,122.6956,122.6658,122.6690,6926
2024-05-29 15:16:00,122.6658,122.6857,122.6558,122.6658,10643
2024-05-29 15:17:00,122.6757,122.6857,122.6558,122.6708,5368
2024-05-29 15:18:00,122.6757,122.6907,122.6658,122.6857,12386
2024-05-29 15:19:00,122.6757,122.6757,122.6603,122.6608,3549
