,open_GS,high_GS,low_GS,close_GS,volume_GS
2024-07-24 13:23:00,489.8698,489.8698,489.7207,489.7207,2052
2024-07-24 13:24:00,489.6511,489.7207,489.4423,489.4423,2244
2024-07-24 13:25:00,489.4225,489.4225,489.3230,489.3230,1917
2024-07-24 13:26:00,489.3429,489.5119,489.3429,489.4125,1975
2024-07-24 13:27:00,489.3330,489.3380,489.2833,489.3380,1215
2024-07-24 13:28:00,489.3380,489.3380,488.9651,489.0248,3015
2024-07-24 13:29:00,488.9999,489.0546,488.8856,488.9403,2810
2024-07-24 13:30:00,488.9154,488.9154,488.8160,488.8160,1782
2024-07-24 13:31:00,488.7763,489.0447,488.7763,488.8160,2801
2024-07-24 13:32:00,488.9346,489.1739,488.9346,489.1739,3129
2024-07-24 13:33:00,489.0646,489.5716,489.0646,489.5716,8788
2024-07-24 13:34:00,489.5915,489.7804,489.5169,489.7033,6192
2024-07-24 13:35:00,489.9444,490.1880,489.8996,490.1084,6480
2024-07-24 13:36:00,490.2377,490.3470,490.2377,490.3470,1202
2024-07-24 13:37:00,490.3371,490.4166,490.3222,490.3222,1428
2024-07-24 13:38:00,490.5856,491.3312,490.4763,491.3312,12042
2024-07-24 13:39:00,491.2019,491.2019,490.9236,491.0230,6543
2024-07-24 13:40:00,491.1026,491.1026,490.7646,490.8789,5345
2024-07-24 13:41:00,490.9634,490.9634,490.4663,490.5429,4173
2024-07-24 13:42:00,490.5508,490.5856,490.5508,490.5856,1003
2024-07-24 13:43:00,490.6105,490.6254,490.6105,490.6254,334
2024-07-24 13:44:00,490.4564,490.4564,489.9295,489.9295,1912
2024-07-24 13:45:00,489.9295,489.9295,489.9295,489.9295,1448
2024-07-24 13:46:00,489.6710,489.6710,489.6710,489.6710,639
2024-07-24 13:47:00,489.5517,489.8798,489.4324,489.4324,957
2024-07-24 13:48:00,489.4423,489.5517,489.3429,489.3777,2911
2024-07-24 13:49:00,489.5517,489.5517,489.5000,489.5517,1418
2024-07-24 13:50:00,489.5219,489.5517,489.1839,489.1839,2875
2024-07-24 13:51:00,489.1441,489.2833,489.0944,489.1347,2098
2024-07-24 13:52:00,489.1192,489.2634,488.9651,488.9651,3439
2024-07-24 13:53:00,489.0049,489.0049,488.8757,488.9453,833
2024-07-24 13:54:00,488.9850,488.9850,488.9254,488.9254,379
2024-07-24 13:55:00,488.8806,488.8806,488.8806,488.8806,972
2024-07-24 13:56:00,489.2932,489.2932,489.2336,489.2336,1557
2024-07-24 13:57:00,489.2336,489.2336,489.1143,489.1143,1144
2024-07-24 13:58:00,489.2087,489.2087,488.8856,489.1043,1548
2024-07-24 13:59:00,488.9552,489.1043,488.7663,488.7663,1618
2024-07-24 14:00:00,488.6967,488.6967,488.5377,488.5377,459
2024-07-24 14:01:00,488.6768,488.6768,488.4780,488.4780,1627
2024-07-24 14:03:00,488.7862,488.7862,488.7763,488.7763,968
2024-07-24 14:04:00,488.8061,488.8061,488.5377,488.6371,3166
2024-07-24 14:06:00,488.7961,488.7961,488.7961,488.7961,464
2024-07-24 14:07:00,488.9453,489.0546,488.9254,488.9254,1630
2024-07-24 14:08:00,488.9254,488.9254,488.9154,488.9154,575
2024-07-24 14:09:00,489.0520,489.0520,489.0520,489.0520,491
2024-07-24 14:10:00,488.9651,488.9651,488.8359,488.9353,2242
2024-07-24 14:11:00,488.9651,489.0248,488.9353,489.0248,682
2024-07-24 14:12:00,489.1242,489.1242,489.0745,489.1242,1692
2024-07-24 14:13:00,489.1441,489.1441,489.0994,489.1242,2313
2024-07-24 14:14:00,488.8956,488.8956,488.8956,488.8956,358
2024-07-24 14:15:00,488.7961,488.7961,488.6470,488.7365,1661
2024-07-24 14:16:00,488.6271,488.8061,488.6271,488.6868,1060
2024-07-24 14:17:00,488.5774,488.5774,488.2295,488.2295,3216
2024-07-24 14:20:00,487.8318,487.8318,487.8318,487.8318,568
2024-07-24 14:21:00,487.7026,487.7621,487.4341,487.6131,2523
2024-07-24 14:22:00,487.5037,487.5733,487.2651,487.2651,3328
2024-07-24 14:23:00,487.4640,487.9014,487.4143,487.9014,4988
2024-07-24 14:24:00,487.7523,487.8914,487.6727,487.6727,2240
2024-07-24 14:25:00,487.5982,487.8169,487.5833,487.8169,1270
2024-07-24 14:26:00,487.7622,487.7622,487.2850,487.2850,1964
2024-07-24 14:27:00,487.4043,487.8517,487.4043,487.8517,10269
2024-07-24 14:28:00,487.6578,487.9113,487.6578,487.9113,1540
2024-07-24 14:29:00,487.8318,487.9412,487.8318,487.9412,1292
2024-07-24 14:30:00,487.8815,488.0108,487.8815,487.9253,1345
2024-07-24 14:31:00,488.0306,488.1798,487.8582,488.1798,6548
2024-07-24 14:32:00,488.2891,488.4084,488.2841,488.4084,709
2024-07-24 14:33:00,488.4084,488.4084,488.2891,488.2991,1193
2024-07-24 14:34:00,488.3388,488.3985,488.3090,488.3090,1174
2024-07-24 14:35:00,488.3537,488.3537,488.3090,488.3488,1669
2024-07-24 14:36:00,488.3090,488.3388,488.3090,488.3388,748
2024-07-24 14:37:00,488.4184,488.4581,488.3488,488.3786,1619
