,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-08-06 10:01:00,399.1190,400.1422,399.0192,399.8727,54981
2024-08-06 10:02:00,399.8677,401.3600,399.8419,401.2053,57154
2024-08-06 10:03:00,401.1418,401.1418,400.2870,400.4167,45236
2024-08-06 10:04:00,400.3968,401.5347,400.1971,401.4320,62483
2024-08-06 10:05:00,401.4698,401.6346,400.6563,400.9364,52971
2024-08-06 10:06:00,400.9957,401.0855,400.3069,400.9857,54050
2024-08-06 10:07:00,400.9258,401.5148,400.7262,401.5148,36233
2024-08-06 10:08:00,401.5048,402.0987,401.1554,402.0738,65194
2024-08-06 10:09:00,401.8941,402.2934,400.9258,402.0857,78346
2024-08-06 10:10:00,402.1237,402.2135,401.0356,401.6246,48172
2024-08-06 10:11:00,401.6346,401.6346,400.7162,400.8010,41439
2024-08-06 10:12:00,400.7362,400.8460,400.3868,400.5415,44098
2024-08-06 10:13:00,400.4866,401.4449,400.4217,401.3151,49657
2024-08-06 10:14:00,401.2852,401.4798,400.5465,400.9058,49120
2024-08-06 10:15:00,400.9657,401.0506,400.3069,400.5565,37326
2024-08-06 10:16:00,400.6263,401.0256,400.5964,400.9258,56216
2024-08-06 10:17:00,400.8559,400.9458,400.4616,400.4616,31896
2024-08-06 10:18:00,400.4666,401.9340,400.4666,401.8142,65069
2024-08-06 10:19:00,401.8841,401.9540,401.3251,401.4948,36207
2024-08-06 10:20:00,401.4349,401.5048,401.0557,401.2752,48734
2024-08-06 10:21:00,401.1354,401.4683,400.8360,401.2772,51439
2024-08-06 10:22:00,401.2502,401.2952,400.6463,401.2253,43374
2024-08-06 10:23:00,401.1554,401.2303,400.4566,400.4566,45346
2024-08-06 10:24:00,400.4969,401.7543,400.4966,401.7194,51418
2024-08-06 10:25:00,401.7543,401.9240,401.2552,401.4349,76148
2024-08-06 10:26:00,401.3750,401.4449,400.6962,400.9657,48685
2024-08-06 10:27:00,400.9807,401.6845,400.9058,401.6845,46905
