,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL
2024-09-03 07:15:00,227.6000,227.7200,227.6000,227.7000,2349
2024-09-03 07:16:00,227.7200,227.8000,227.7200,227.8000,134
2024-09-03 07:17:00,227.8400,227.8400,227.7700,227.7700,192
2024-09-03 07:18:00,227.8300,228.0400,227.8100,228.0400,4621
2024-09-03 07:19:00,227.9300,228.0000,227.9100,227.9100,133
2024-09-03 07:20:00,227.9400,227.9600,227.9400,227.9600,93
2024-09-03 07:21:00,227.9100,228.0100,227.8900,228.0100,446
2024-09-03 07:22:00,228.0000,228.0000,227.9100,228.0000,19
2024-09-03 07:23:00,227.9100,228.0100,227.8800,227.8800,394
2024-09-03 07:24:00,227.9100,227.9500,227.8600,227.8600,107
2024-09-03 07:25:00,227.8900,227.8900,227.8600,227.8600,50
2024-09-03 07:26:00,227.8700,227.9100,227.8700,227.9100,16
2024-09-03 07:27:00,227.8900,228.0000,227.8800,227.9000,3298
2024-09-03 07:28:00,227.9400,227.9400,227.8900,227.8900,312
2024-09-03 07:29:00,227.8500,227.9800,227.8500,227.9800,1361
2024-09-03 07:30:00,227.9800,228.0100,227.9800,227.9800,121
2024-09-03 07:31:00,227.9800,228.0200,227.9800,228.0000,324
2024-09-03 07:32:00,228.0000,228.1500,228.0000,228.1000,2035
2024-09-03 07:33:00,228.1400,228.1400,228.1000,228.1100,917
2024-09-03 07:34:00,228.1100,228.1300,228.1100,228.1300,26
2024-09-03 07:35:00,228.0900,228.1000,228.0200,228.0900,566
2024-09-03 07:36:00,228.0100,228.0200,228.0000,228.0200,273
2024-09-03 07:37:00,227.9800,227.9800,227.9400,227.9500,167
2024-09-03 07:38:00,227.9400,228.0000,227.9400,228.0000,540
2024-09-03 07:39:00,227.9500,228.0100,227.9500,227.9800,884
2024-09-03 07:40:00,228.0000,228.0100,227.9400,227.9900,543
2024-09-03 07:41:00,227.9200,228.0000,227.9200,228.0000,29
2024-09-03 07:42:00,227.9900,228.0000,227.8400,227.8400,454
2024-09-03 07:43:00,227.8500,227.9100,227.8500,227.8900,24
2024-09-03 07:44:00,227.9200,227.9200,227.8300,227.8300,294
2024-09-03 07:45:00,227.8300,227.8300,227.7300,227.7400,3712
2024-09-03 07:46:00,227.7800,227.7800,227.5900,227.6200,1958
2024-09-03 07:47:00,227.7000,227.7800,227.6800,227.7700,616
2024-09-03 07:48:00,227.7700,227.7800,227.6600,227.6900,1037
2024-09-03 07:49:00,227.6800,227.6900,227.6600,227.6600,199
2024-09-03 07:50:00,227.6500,227.6500,227.6100,227.6100,19
2024-09-03 07:51:00,227.6100,227.6500,227.6000,227.6300,321
2024-09-03 07:52:00,227.6500,227.6500,227.6100,227.6100,236
2024-09-03 07:53:00,227.6100,227.6300,227.6100,227.6200,414
2024-09-03 07:54:00,227.6300,227.6800,227.6300,227.6800,437
2024-09-03 07:55:00,227.6900,227.7500,227.6300,227.6700,2622
2024-09-03 07:56:00,227.6900,227.7500,227.6800,227.7500,5706
2024-09-03 07:57:00,227.7200,227.9000,227.7200,227.9000,1695
2024-09-03 07:58:00,227.8300,227.8800,227.7800,227.8800,2195
2024-09-03 07:59:00,227.8500,227.9100,227.8500,227.9000,270
2024-09-03 08:00:00,228.8015,229.9188,227.5500,227.6500,837603
2024-09-03 08:01:00,227.8250,229.5900,227.5750,227.7900,916
