,open_MCD,high_MCD,low_MCD,close_MCD,volume_MCD
2024-08-26 13:00:00,287.4487,287.5382,287.4090,287.4885,1561
2024-08-26 13:01:00,287.4189,287.4189,287.4189,287.4189,1095
2024-08-26 13:03:00,287.4736,287.4736,287.3443,287.3443,2395
2024-08-26 13:04:00,287.4189,287.4885,287.3841,287.4239,2612
2024-08-26 13:05:00,287.4388,287.4487,287.3692,287.4437,4118
2024-08-26 13:06:00,287.4487,287.5183,287.4288,287.4487,2177
2024-08-26 13:07:00,287.4487,287.4487,287.3791,287.3791,1104
2024-08-26 13:08:00,287.4388,287.4697,287.3493,287.3692,2488
2024-08-26 13:09:00,287.3592,287.4388,287.3592,287.3990,1869
2024-08-26 13:10:00,287.4587,287.6078,287.4587,287.5382,5241
2024-08-26 13:11:00,287.5730,287.5730,287.4288,287.5525,2840
2024-08-26 13:12:00,287.4090,287.5978,287.4090,287.5978,1090
2024-08-26 13:13:00,287.5978,287.6376,287.5382,287.6376,4196
2024-08-26 13:14:00,287.6376,287.7072,287.6376,287.6476,1030
2024-08-26 13:15:00,287.6476,287.6476,287.4785,287.5581,3434
2024-08-26 13:16:00,287.5581,287.5581,287.4587,287.4587,1005
2024-08-26 13:17:00,287.6575,287.6575,287.3940,287.3940,3680
2024-08-26 13:18:00,287.4139,287.4139,287.2996,287.2996,1562
2024-08-26 13:19:00,287.2946,287.3095,287.2648,287.3095,1701
2024-08-26 13:20:00,287.2300,287.2598,287.0610,287.0610,1774
2024-08-26 13:21:00,287.1107,287.2201,287.0809,287.1853,2216
2024-08-26 13:22:00,287.2499,287.2797,287.1803,287.2201,4515
2024-08-26 13:23:00,287.2250,287.2896,287.1703,287.2549,3967
2024-08-26 13:24:00,287.2549,287.2996,287.2499,287.2499,2128
2024-08-26 13:25:00,287.2996,287.3592,287.2996,287.3294,2557
2024-08-26 13:26:00,287.2797,287.2797,287.2598,287.2598,1163
2024-08-26 13:27:00,287.1902,287.2002,287.1539,287.2002,2185
2024-08-26 13:28:00,287.1952,287.2201,287.1485,287.1753,1620
2024-08-26 13:30:00,287.1803,287.1803,287.0809,287.0809,2301
2024-08-26 13:31:00,287.0921,287.0921,286.9816,287.0510,2427
2024-08-26 13:32:00,286.9815,287.1206,286.8621,286.8621,4069
2024-08-26 13:33:00,286.9616,286.9616,286.9119,286.9119,1570
2024-08-26 13:34:00,287.0113,287.0113,286.8721,286.9815,3355
2024-08-26 13:35:00,287.0113,287.0411,286.9566,286.9705,4495
2024-08-26 13:36:00,286.9417,286.9516,286.8522,286.9417,2281
2024-08-26 13:37:00,287.0113,287.0113,286.9317,287.0113,1507
2024-08-26 13:38:00,287.0471,287.0471,286.9765,286.9765,2221
2024-08-26 13:39:00,286.9815,287.0312,286.8224,286.8721,3558
2024-08-26 13:40:00,286.7727,286.7727,286.7230,286.7697,1298
2024-08-26 13:41:00,286.7230,286.7825,286.6534,286.6534,1925
2024-08-26 13:42:00,286.7081,286.7081,286.7081,286.7081,1147
2024-08-26 13:43:00,286.6534,286.7329,286.5838,286.6782,4752
2024-08-26 13:44:00,286.6335,286.7230,286.5342,286.5440,1809
2024-08-26 13:45:00,286.5738,286.5738,286.4645,286.5336,2429
2024-08-26 13:46:00,286.4645,286.5192,286.3750,286.3750,1406
2024-08-26 13:47:00,286.3651,286.4694,286.3402,286.3856,2014
2024-08-26 13:48:00,286.4048,286.4744,286.4048,286.4545,2255
2024-08-26 13:49:00,286.4694,286.5540,286.4347,286.4347,1733
2024-08-26 13:50:00,286.4098,286.4098,286.2756,286.2756,1708
2024-08-26 13:51:00,286.3651,286.3800,286.2955,286.3800,3279
2024-08-26 13:52:00,286.2869,286.4347,286.2855,286.4347,6300
2024-08-26 13:53:00,286.4446,286.4545,286.4197,286.4197,2858
2024-08-26 13:54:00,286.4197,286.4247,286.4197,286.4247,1209
2024-08-26 13:55:00,286.4197,286.4197,286.3750,286.3750,1424
2024-08-26 13:56:00,286.3899,286.4247,286.3651,286.3700,2199
2024-08-26 13:57:00,286.3949,286.5042,286.3800,286.4496,6400
2024-08-26 13:58:00,286.4744,286.5540,286.4704,286.4844,1319
2024-08-26 13:59:00,286.4496,286.4794,286.4446,286.4794,2419
2024-08-26 14:00:00,286.4347,286.4744,286.3651,286.4247,3816
2024-08-26 14:01:00,286.4396,286.4844,286.4247,286.4446,3956
2024-08-26 14:02:00,286.3949,286.6235,286.3949,286.6235,5062
2024-08-26 14:03:00,286.6037,286.6154,286.5937,286.5937,973
2024-08-26 14:04:00,286.6633,286.7428,286.5937,286.6385,4362
2024-08-26 14:05:00,286.6733,286.7230,286.6385,286.7031,1588
2024-08-26 14:06:00,286.6981,286.6981,286.6931,286.6931,800
2024-08-26 14:07:00,286.6335,286.6335,286.4297,286.4297,2356
2024-08-26 14:08:00,286.4347,286.4545,286.3054,286.3054,3939
2024-08-26 14:09:00,286.3054,286.3700,286.3054,286.3253,2049
2024-08-26 14:11:00,286.3153,286.3153,286.2060,286.2504,3440
2024-08-26 14:12:00,286.2507,286.2507,286.1960,286.1960,2076
2024-08-26 14:13:00,286.2060,286.2756,286.2060,286.2159,1770
2024-08-26 14:14:00,286.2259,286.3551,286.1960,286.3262,8620
2024-08-26 14:15:00,286.2986,286.4844,286.2986,286.3601,4402
2024-08-26 14:16:00,286.3532,286.3532,286.3532,286.3532,569
2024-08-26 14:17:00,286.2955,286.3551,286.2955,286.3352,954
2024-08-26 14:19:00,286.3054,286.3054,286.3054,286.3054,919
2024-08-26 14:20:00,286.3377,286.4446,286.3377,286.4297,3871
2024-08-26 14:21:00,286.3750,286.3750,286.3402,286.3651,2136
2024-08-26 14:22:00,286.4247,286.4297,286.3949,286.4297,1561
2024-08-26 14:23:00,286.4297,286.4297,286.4247,286.4247,636
