,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-06-18 10:21:00,109.6378,109.6477,109.5237,109.5832,74445
2024-06-18 10:22:00,109.5864,109.6427,109.5435,109.5435,26215
2024-06-18 10:23:00,109.5435,109.5435,109.3848,109.4294,44266
2024-06-18 10:24:00,109.4443,109.4741,109.3501,109.3649,23127
2024-06-18 10:25:00,109.3649,109.3947,109.3352,109.3848,31003
2024-06-18 10:26:00,109.3947,109.4691,109.3501,109.4245,39964
2024-06-18 10:27:00,109.4245,109.4542,109.3749,109.3848,29669
2024-06-18 10:28:00,109.3848,109.3947,109.3253,109.3897,43021
2024-06-18 10:29:00,109.3947,109.4245,109.3253,109.3352,22622
2024-06-18 10:30:00,109.3451,109.3649,109.2760,109.2955,31934
2024-06-18 10:31:00,109.3054,109.3352,109.2856,109.3253,19851
2024-06-18 10:32:00,109.3153,109.3352,109.2756,109.2756,21982
2024-06-18 10:33:00,109.2905,109.3104,109.2062,109.2069,41044
2024-06-18 10:34:00,109.2161,109.2260,109.1708,109.2161,29249
2024-06-18 10:35:00,109.2259,109.2657,109.1764,109.2012,46300
2024-06-18 10:36:00,109.2161,109.2608,109.2062,109.2260,22164
2024-06-18 10:37:00,109.2310,109.2508,109.1913,109.1913,23481
2024-06-18 10:38:00,109.1864,109.2161,109.0971,109.2112,47768
2024-06-18 10:39:00,109.2092,109.2558,109.1864,109.2062,25552
2024-06-18 10:40:00,109.2161,109.2756,109.2161,109.2508,22206
2024-06-18 10:41:00,109.2310,109.2558,109.1467,109.1763,37869
2024-06-18 10:42:00,109.1566,109.1566,109.0972,109.1268,24116
2024-06-18 10:43:00,109.1070,109.1368,109.0723,109.0971,69122
2024-06-18 10:44:00,109.1020,109.1070,109.0475,109.0574,23231
2024-06-18 10:45:00,109.0574,109.0872,109.0078,109.0177,30824
2024-06-18 10:46:00,109.0177,109.0276,108.9383,109.0127,39821
2024-06-18 10:47:00,109.0177,109.1430,109.0177,109.1169,38338
2024-06-18 10:48:00,109.1169,109.1367,109.0673,109.0822,17540
2024-06-18 10:49:00,109.0822,109.1070,109.0083,109.0083,18949
2024-06-18 10:50:00,109.0202,109.0276,108.9185,108.9383,27258
2024-06-18 10:51:00,108.9483,108.9830,108.8937,108.8937,21845
2024-06-18 10:52:00,108.8922,108.9780,108.8441,108.9185,59712
2024-06-18 10:53:00,108.9235,108.9284,108.8689,108.8887,21250
2024-06-18 10:54:00,108.8987,108.9235,108.8788,108.8887,36060
2024-06-18 10:55:00,108.8838,108.9979,108.8689,108.9483,34166
2024-06-18 10:56:00,108.9483,109.0078,108.9483,108.9879,21208
2024-06-18 10:57:00,108.9929,109.0078,108.9433,108.9780,21418
2024-06-18 10:58:00,108.9830,109.0028,108.9532,108.9532,18845
2024-06-18 10:59:00,108.9483,108.9681,108.8788,108.9433,27862
2024-06-18 11:00:00,108.9384,108.9631,108.8590,108.8590,35051
2024-06-18 11:01:00,108.8709,108.9102,108.7846,108.7995,30958
2024-06-18 11:02:00,108.8044,108.8491,108.8044,108.8044,19228
2024-06-18 11:03:00,108.8094,108.8143,108.7449,108.7747,21212
2024-06-18 11:04:00,108.7796,108.8689,108.7399,108.7995,34816
2024-06-18 11:05:00,108.7945,108.8193,108.7846,108.8112,18828
2024-06-18 11:06:00,108.8143,108.8193,108.6854,108.7102,20789
2024-06-18 11:07:00,108.7151,108.7846,108.6824,108.7647,21462
2024-06-18 11:08:00,108.7697,108.7747,108.7303,108.7747,19783
2024-06-18 11:09:00,108.7747,108.8391,108.7747,108.8193,27968
2024-06-18 11:10:00,108.8094,108.8391,108.7995,108.8342,27659
2024-06-18 11:11:00,108.8391,108.8987,108.8391,108.8590,28334
2024-06-18 11:12:00,108.8491,108.8736,108.8292,108.8491,19985
2024-06-18 11:13:00,108.8540,108.9383,108.8441,108.9284,30204
2024-06-18 11:14:00,108.9383,108.9483,108.8788,108.8838,26870
2024-06-18 11:15:00,108.8838,108.9085,108.8094,108.8243,30636
2024-06-18 11:16:00,108.8243,108.8292,108.7846,108.7995,19763
2024-06-18 11:17:00,108.7945,108.8342,108.7598,108.8342,62131
2024-06-18 11:18:00,108.8391,108.9674,108.8391,108.9235,31766
2024-06-18 11:19:00,108.9135,108.9185,108.8193,108.8590,36773
2024-06-18 11:20:00,108.8491,108.9284,108.7945,108.8937,47918
2024-06-18 11:21:00,108.9086,108.9483,108.8689,108.9036,23480
2024-06-18 11:22:00,108.8987,108.9086,108.8639,108.9086,20805
2024-06-18 11:23:00,108.9135,108.9631,108.9086,108.9185,37791
2024-06-18 11:24:00,108.9185,108.9830,108.9185,108.9681,38392
2024-06-18 11:25:00,108.9582,108.9879,108.8491,108.8590,31830
2024-06-18 11:26:00,108.8639,108.9284,108.8639,108.8987,22523
2024-06-18 11:27:00,108.8937,108.9235,108.8441,108.8540,22174
2024-06-18 11:28:00,108.8540,108.8540,108.8143,108.8243,18616
2024-06-18 11:29:00,108.8243,108.8391,108.7846,108.7945,27640
2024-06-18 11:30:00,108.7895,108.8143,108.7598,108.7846,23066
2024-06-18 11:31:00,108.7796,108.7846,108.7301,108.7846,22733
2024-06-18 11:32:00,108.7846,108.7945,108.7300,108.7300,18963
2024-06-18 11:33:00,108.7330,108.7796,108.7201,108.7251,19524
2024-06-18 11:34:00,108.7251,108.7499,108.7151,108.7449,13367
2024-06-18 11:35:00,108.7399,108.7599,108.6804,108.6804,17722
2024-06-18 11:36:00,108.6804,108.7102,108.6621,108.7003,16381
2024-06-18 11:37:00,108.6953,108.7548,108.6854,108.7548,41759
2024-06-18 11:38:00,108.7562,108.7697,108.7350,108.7548,17294
2024-06-18 11:39:00,108.7510,108.7598,108.7350,108.7499,10792
2024-06-18 11:40:00,108.7598,108.7796,108.7052,108.7102,23804
2024-06-18 11:41:00,108.7102,108.7697,108.7052,108.7201,52425
2024-06-18 11:42:00,108.7300,108.7697,108.6903,108.7399,113737
2024-06-18 11:43:00,108.7449,108.8590,108.7003,108.7201,49194
